
187601,11.3
187602,11.0
187603,0.2
187604,9.4
187605,6.8
187606,17.2
187607,-5.6
187608,12.3
187609,10.5
187610,-8.0
187611,-2.7
187612,-3.0
187701,-9.7
187702,-6.5
187703,-4.7
187704,-9.6
187705,3.6
187706,-16.8
187707,-10.2
187708,-8.2
187709,-17.2
187710,-16.0
187711,-12.6
187712,-12.6
187801,-8.7
187802,-21.1
187803,-15.5
187804,-8.8
187805,2.1
187806,-3.1
187807,15.9
187808,13.0
187809,17.7
187810,10.9
187811,15.1
187812,17.9
187901,12.7
187902,14.3
187903,13.2
187904,12.7
187905,2.1
187906,16.4
187907,21.8
187908,22.6
187909,18.9
187910,15.2
187911,9.8
187912,-5.5
188001,10.8
188002,7.7
188003,14.3
188004,5.3
188005,12.3
188006,9.1
188007,1.6
188008,14.3
188009,8.1
188010,4.8
188011,7.2
188012,-1.9
188101,-7.3
188102,-5.5
188103,1.8
188104,0.3
188105,-4.3
188106,-4.7
188107,-5.6
188108,-11.4
188109,-13.6
188110,-23.9
188111,7.2
188112,9.8
188201,-6.8
188202,-1.3
188203,5.1
188204,1.2
188205,6.8
188206,-12.0
188207,-21.3
188208,-25.6
188209,-14.8
188210,-2.5
188211,2.6
188212,10.3
188301,6.0
188302,9.1
188303,-25.3
188304,14.4
188305,13.9
188306,3.4
188307,-10.2
188308,1.4
188309,-8.2
188310,4.8
188311,5.2
188312,-15.2
188401,-12.5
188402,-5.0
188403,9.4
188404,-15.4
188405,1.3
188406,9.1
188407,-3.0
188408,-5.0
188409,-7.0
188410,4.2
188411,-1.4
188412,-12.6
188501,-16.3
188502,1.6
188503,5.1
188504,-0.5
188505,-4.3
188506,-14.4
188507,-5.0
188508,-9.5
188509,-4.0
188510,-17.8
188511,-15.9
188512,5.2
188601,-0.6
188602,1.6
188603,2.9
188604,4.5
188605,6.0
188606,5.0
188607,7.4
188608,13.6
188609,13.5
188610,13.4
188611,10.5
188612,14.4
188701,12.2
188702,11.0
188703,10.0
188704,9.4
188705,-4.3
188706,5.0
188707,4.8
188708,4.6
188709,5.1
