"Shoes","Barefoot"
42.7333333333333,42.2333333333333
41,39.4666666666667
27.3666666666667,30.4
46.8,36.6
48.8666666666667,49.7333333333333
26.4,25.8333333333333
45.4666666666667,44.6666666666667
23.7333333333333,22.5
39.8666666666667,42.6666666666667
26.4333333333333,27.7666666666667
42.7,41.5
27.7333333333333,27.7
28.3666666666667,27.1
36.4333333333333,36.8333333333333
23.3333333333333,22.1333333333333
29.4333333333333,27.3666666666667
33.8666666666667,35.3666666666667
26.2333333333333,30.7666666666667
27.7333333333333,30.1
22.4666666666667,23.8333333333333
40.5666666666667,38.3
35.7,35
37.1666666666667,39.5333333333333
35.7333333333333,35.3666666666667
33.5333333333333,36.9333333333333
17.5,23.1333333333333
19.3666666666667,21.0666666666667
32.5,30.5
24.1666666666667,23.0666666666667
22.8666666666667,22.7666666666667
22.4666666666667,19.9333333333333
42.6,41.7666666666667
27.2,28.4
42.6333333333333,38.4
43,48.0333333333333
43.0333333333333,43.4666666666667
37.5666666666667,34.2333333333333
39.8666666666667,43.8333333333333
22.5,24
28.7333333333333,27.2
33.5333333333333,35.6333333333333
12.8,14.5333333333333
28.0666666666667,27.7666666666667
35.4333333333333,35.7666666666667
19.4333333333333,21.3666666666667
27.4,31.4666666666667
37.2666666666667,39.4333333333333
8.53333333333333,11.4666666666667
30.4333333333333,30.0333333333333
36.8333333333333,39.9666666666667
51.4333333333333,51.9333333333333
36.9,37.5
34.3333333333333,38.3666666666667
35.7666666666667,37.1666666666667
41.5,41
45.1,41.5
23.5,24.9333333333333
17.2666666666667,16.4
42.6666666666667,42.6333333333333
21.0333333333333,19.1666666666667
21.0333333333333,22.5333333333333
29.0333333333333,33.9333333333333
36.8,39.2
24.1,28.3666666666667
28.0666666666667,29.4333333333333
37.9333333333333,41.0333333333333
39.9666666666667,41.4666666666667
36.0666666666667,38.7333333333333
26.0666666666667,25.2
32.4,31.0666666666667
31.1333333333333,33.9
20.5,23.7
25.7666666666667,25.2666666666667
26.1333333333333,23.3666666666667
43.8666666666667,45.9
24.9,24.8666666666667
32.7333333333333,33.9
56.5,55.1
33.5666666666667,32.0666666666667
27.7666666666667,33.5666666666667
